slug,name,exerciseType,bodyPart,difficulty,force,mechanic,equipment,primaryMuscles,secondaryMuscles,instructions,gifPublicId
push-up,Push-Up,STRENGTH,CHEST,BEGINNER,PUSH,COMPOUND,BODY_WEIGHT,"[""chest""]","[""triceps"",""shoulders""]","[""Start in a high plank with hands slightly wider than shoulder width."",""Keep your body in a straight line and lower your chest toward the floor."",""Press through your palms until your arms are extended again.""]",exercises/push-up/demo
incline-push-up,Incline Push-Up,STRENGTH,CHEST,BEGINNER,PUSH,COMPOUND,BODY_WEIGHT,"[""chest""]","[""triceps"",""shoulders""]","[""Place your hands on a stable elevated surface and step your feet back."",""Keep your body straight as you lower your chest toward the surface."",""Push away from the surface to return to the start.""]",exercises/incline-push-up/demo
bodyweight-squat,Bodyweight Squat,STRENGTH,LEGS,BEGINNER,PUSH,COMPOUND,BODY_WEIGHT,"[""quadriceps"",""glutes""]","[""hamstrings"",""calves""]","[""Stand with feet around shoulder width apart."",""Sit your hips back and bend your knees while keeping your chest up."",""Descend comfortably, then push through your feet to stand.""]",exercises/bodyweight-squat/demo
walking-lunge,Walking Lunge,STRENGTH,LEGS,BEGINNER,PUSH,COMPOUND,BODY_WEIGHT,"[""quadriceps"",""glutes""]","[""hamstrings"",""calves""]","[""Stand tall and step forward with one leg."",""Lower until both knees are comfortably bent."",""Push through the front foot and step directly into the next lunge.""]",exercises/walking-lunge/demo
step-up,Step-Up,STRENGTH,LEGS,BEGINNER,PUSH,COMPOUND,BODY_WEIGHT,"[""quadriceps"",""glutes""]","[""hamstrings"",""calves""]","[""Place one foot fully on a stable step or bench."",""Drive through that foot to raise your body onto the platform."",""Step down under control and repeat, then switch sides.""]",exercises/step-up/demo
glute-bridge,Glute Bridge,STRENGTH,GLUTES,BEGINNER,PUSH,ISOLATION,BODY_WEIGHT,"[""glutes""]","[""hamstrings"",""core""]","[""Lie on your back with knees bent and feet flat."",""Brace your core and press through your heels."",""Lift your hips, squeeze your glutes, then lower under control.""]",exercises/glute-bridge/demo
standing-calf-raise,Standing Calf Raise,STRENGTH,CALVES,BEGINNER,PUSH,ISOLATION,BODY_WEIGHT,"[""calves""]",[],"[""Stand tall with feet about hip width apart."",""Rise onto the balls of your feet as high as comfortable."",""Pause briefly, then lower your heels slowly.""]",exercises/standing-calf-raise/demo
pull-up,Pull-Up,STRENGTH,BACK,INTERMEDIATE,PULL,COMPOUND,BODY_WEIGHT,"[""lats""]","[""biceps"",""upper back""]","[""Hang from a pull-up bar with a comfortable overhand grip."",""Pull your chest upward by driving your elbows down."",""Lower yourself under control until your arms are extended.""]",exercises/pull-up/demo
inverted-row,Inverted Row,STRENGTH,BACK,BEGINNER,PULL,COMPOUND,BODY_WEIGHT,"[""upper back"",""lats""]","[""biceps"",""rear deltoids""]","[""Hold a secure horizontal bar and position your body underneath it."",""Keep your body straight and pull your chest toward the bar."",""Lower under control until your arms are extended.""]",exercises/inverted-row/demo
bench-dip,Bench Dip,STRENGTH,ARMS,BEGINNER,PUSH,COMPOUND,BODY_WEIGHT,"[""triceps""]","[""chest"",""shoulders""]","[""Place your hands on the edge of a stable bench behind you."",""Lower your body by bending your elbows while keeping close to the bench."",""Press through your hands to extend your elbows again.""]",exercises/bench-dip/demo
