id,name_en,name_ar,aliases,created_by_user_id,servings,total_yield_grams,calories_per_serving,protein_grams_per_serving,carbohydrate_grams_per_serving,fat_grams_per_serving,country_code,cuisine,source,external_source_id,source_version,is_active,archived_at,created_at,updated_at,instructions
11f7c755-e7eb-4fe3-bea2-e66bb6bb8a90,Baked Egyptian Moussaka with Lean Beef,مسقعة مصرية مخبوزة باللحم قليل الدهن,"[""Healthy Egyptian moussaka"", ""Baked mesaka with beef""]",,4.00,1520.00,376.00,30.00,28.00,16.00,EG,Egyptian,Spotter Curated,spotter-seed-2026-051,seed-v2.0,true,,2026-09-01T17:04:00+03:00,2026-09-01T17:04:00+03:00,"Roast or bake eggplant instead of deep-frying; cook lean minced beef with onion, garlic, tomato, and spices; layer with the eggplant and bake until bubbling."
2fec3339-f68f-46a3-be9d-5a06609e9aa5,Sayadeya Fish with Onion Rice,سمك صيادية مع أرز بالبصل,"[""Egyptian sayadeya"", ""Fish sayadieh""]",,4.00,1800.00,526.00,40.00,60.00,14.00,EG,Egyptian,Spotter Curated,spotter-seed-2026-052,seed-v2.0,true,,2026-09-01T17:04:00+03:00,2026-09-01T17:04:00+03:00,"Season fish with cumin, coriander, lemon, and garlic; bake or grill until flaky; cook rice with deeply browned onion and spices; serve together."
9e57dad0-c4ad-4cab-8418-0a8817c55927,Grilled Shrimp with Rice and Baladi Salad,جمبري مشوي مع أرز وسلطة بلدي,"[""Grilled prawns with rice"", ""Egyptian grilled shrimp plate""]",,4.00,1680.00,450.00,38.00,52.00,10.00,EG,Egyptian Seafood,Spotter Curated,spotter-seed-2026-053,seed-v2.0,true,,2026-09-01T17:04:00+03:00,2026-09-01T17:04:00+03:00,"Marinate shrimp with garlic, lemon, cumin, paprika, and pepper; grill quickly until opaque; serve with rice and tomato-cucumber salad."
93311c8e-bc52-4044-8712-91ac4a389a45,Grilled Calamari with Lemon and Salad,سبيط مشوي بالليمون والسلطة,"[""Grilled squid"", ""Grilled calamari plate""]",,4.00,1320.00,315.00,36.00,18.00,11.00,EG,Mediterranean Seafood,Spotter Curated,spotter-seed-2026-054,seed-v2.0,true,,2026-09-01T17:04:00+03:00,2026-09-01T17:04:00+03:00,"Score and season calamari with lemon, garlic, cumin, salt, and pepper; grill briefly over high heat; serve with fresh salad."
d74654ef-071d-4fee-8c45-081cbb9420bb,Chicken Vegetable Soup with Orzo,شوربة دجاج بالخضار ولسان العصفور,"[""Chicken orzo soup"", ""Chicken lisan asfour soup""]",,4.00,1600.00,328.00,30.00,34.00,8.00,EG,Egyptian,Spotter Curated,spotter-seed-2026-055,seed-v2.0,true,,2026-09-01T17:04:00+03:00,2026-09-01T17:04:00+03:00,"Simmer chicken with onion, carrot, celery, tomato, stock, and spices; add orzo near the end and cook until tender."
a75daaca-0aeb-4318-a92a-d642da007420,Beef and Vegetable Soup,شوربة لحم بالخضار,"[""Vegetable beef soup"", ""Lean beef soup""]",,4.00,1680.00,330.00,32.00,28.00,10.00,EG,Egyptian,Spotter Curated,spotter-seed-2026-056,seed-v2.0,true,,2026-09-01T17:04:00+03:00,2026-09-01T17:04:00+03:00,"Simmer lean beef cubes with onion, carrot, zucchini, tomato, stock, and spices until the beef and vegetables are tender."
8f430607-4db9-4473-b3ad-f41f4cf07b91,"Areesh Cheese with Tomato, Cucumber and Baladi Bread",جبنة قريش بالطماطم والخيار والعيش البلدي,"[""Cottage cheese Egyptian breakfast"", ""Gebna areesh plate""]",,2.00,660.00,353.00,30.00,38.00,9.00,EG,Egyptian,Spotter Curated,spotter-seed-2026-057,seed-v2.0,true,,2026-09-01T17:04:00+03:00,2026-09-01T17:04:00+03:00,"Season areesh cheese with black pepper, herbs, and a little olive oil; serve with tomato, cucumber, and a measured portion of baladi bread."
ec7a76a6-77dd-4c4d-92c1-03ce2e9d28b9,Shakshuka with Baladi Bread,شكشوكة مع عيش بلدي,"[""Eggs in tomato sauce"", ""Shakshouka""]",,2.00,720.00,368.00,22.00,34.00,16.00,,Middle Eastern,Spotter Curated,spotter-seed-2026-058,seed-v2.0,true,,2026-09-01T17:04:00+03:00,2026-09-01T17:04:00+03:00,"Cook onion and peppers with tomato, garlic, cumin, and paprika; make wells in the sauce, add eggs, cover, and cook until set; serve with bread."
5b79ae6d-358f-45dd-b7a5-0ae580c1435d,Hummus Bowl with Eggs and Vegetables,طبق حمص بالبيض والخضار,"[""Hummus egg bowl"", ""Chickpea egg plate""]",,2.00,760.00,417.00,24.00,42.00,17.00,,Middle Eastern,Spotter Curated,spotter-seed-2026-059,seed-v2.0,true,,2026-09-01T17:04:00+03:00,2026-09-01T17:04:00+03:00,"Spread hummus in a bowl; top with boiled eggs, cucumber, tomato, parsley, paprika, and a small amount of olive oil and lemon."
5c5ca2d4-6cef-4a41-b513-207f63dff463,Baba Ghanoush with Grilled Chicken,بابا غنوج مع دجاج مشوي,"[""Chicken baba ghanoush bowl"", ""Grilled chicken with eggplant dip""]",,4.00,1400.00,362.00,41.00,18.00,14.00,,Middle Eastern,Spotter Curated,spotter-seed-2026-060,seed-v2.0,true,,2026-09-01T17:04:00+03:00,2026-09-01T17:04:00+03:00,"Char eggplant and blend with tahini, lemon, garlic, and seasonings; grill chicken breast and serve sliced beside the baba ghanoush and vegetables."
